location_id,borough,zone,centroid_lat,centroid_lon,area_sqkm,n_parts
1,EWR,Newark Airport,40.69183,-74.174002,7.343012,1
2,Queens,Jamaica Bay,40.616746,-73.8313,13.369633,33
3,Bronx,Allerton/Pelham Gardens,40.864474,-73.847422,2.943641,1
4,Manhattan,Alphabet City,40.723752,-73.976968,0.745429,1
5,Staten Island,Arden Heights,40.552659,-74.188485,4.683696,1
6,Staten Island,Arrochar/Fort Wadsworth,40.600324,-74.07177,3.802967,1
7,Queens,Astoria,40.761493,-73.919694,3.654903,1
8,Queens,Astoria Park,40.778559,-73.923086,0.24924,1
9,Queens,Auburndale,40.751034,-73.787949,3.17396,1
10,Queens,Baisley Park,40.678953,-73.790987,4.091582,1
11,Brooklyn,Bath Beach,40.604273,-74.007488,1.907833,1
12,Manhattan,Battery Park,40.702946,-74.015563,0.101224,1
13,Manhattan,Battery Park City,40.712038,-74.016079,0.457354,1
14,Brooklyn,Bay Ridge,40.624834,-74.029893,6.235554,1
15,Queens,Bay Terrace/Fort Totten,40.783333,-73.785973,4.301017,1
16,Queens,Bayside,40.762738,-73.773421,7.506282,1
17,Brooklyn,Bedford,40.691507,-73.949905,3.031411,1
18,Bronx,Bedford Park,40.867682,-73.890184,1.393514,1
19,Queens,Bellerose,40.735487,-73.726655,5.127828,1
20,Bronx,Belmont,40.857779,-73.885867,1.259473,1
21,Brooklyn,Bensonhurst East,40.601429,-73.983538,3.323814,1
22,Brooklyn,Bensonhurst West,40.612218,-73.995259,4.335669,1
23,Staten Island,Bloomfield/Emerson Hill,40.606448,-74.170885,19.650154,1
24,Manhattan,Bloomingdale,40.801971,-73.965479,0.392991,1
25,Brooklyn,Boerum Hill,40.685634,-73.986114,1.165595,1
26,Brooklyn,Borough Park,40.630949,-73.988661,5.01723,1
27,Queens,Breezy Point/Fort Tilden/Riis Beach,40.559135,-73.906912,6.790554,1
28,Queens,Briarwood/Jamaica Hills,40.711596,-73.808729,2.732541,1
29,Brooklyn,Brighton Beach,40.580922,-73.961217,1.596174,1
30,Queens,Broad Channel,40.603687,-73.821928,1.370911,1
31,Bronx,Bronx Park,40.857746,-73.875476,3.127095,1
32,Bronx,Bronxdale,40.864002,-73.864901,1.412586,1
33,Brooklyn,Brooklyn Heights,40.695798,-73.99525,1.023587,1
34,Brooklyn,Brooklyn Navy Yard,40.700856,-73.971189,1.039846,3
35,Brooklyn,Brownsville,40.664003,-73.910258,3.040797,1
36,Brooklyn,Bushwick North,40.700522,-73.91771,2.324383,1
37,Brooklyn,Bushwick South,40.694994,-73.922237,4.243027,1
38,Queens,Cambria Heights,40.694341,-73.735554,3.072909,1
39,Brooklyn,Canarsie,40.638037,-73.899735,7.624484,2
40,Brooklyn,Carroll Gardens,40.679199,-73.995956,1.022829,1
41,Manhattan,Central Harlem,40.804334,-73.951292,1.340878,1
42,Manhattan,Central Harlem North,40.818257,-73.940772,2.35985,1
43,Manhattan,Central Park,40.782477,-73.965555,3.558853,1
44,Staten Island,Charleston/Tottenville,40.525491,-74.233535,13.546631,1
45,Manhattan,Chinatown,40.712459,-73.998151,0.692159,1
46,Bronx,City Island,40.849086,-73.781988,1.612057,6
47,Bronx,Claremont/Bathgate,40.842748,-73.900317,1.528403,1
48,Manhattan,Clinton East,40.762253,-73.989845,0.883775,1
49,Brooklyn,Clinton Hill,40.687967,-73.962363,1.907282,1
50,Manhattan,Clinton West,40.766238,-73.995135,0.823916,1
51,Bronx,Co-Op City,40.873972,-73.828263,3.704667,1
52,Brooklyn,Cobble Hill,40.686651,-73.996724,0.424322,1
53,Queens,College Point,40.780912,-73.842813,4.702396,2
54,Brooklyn,Columbia Street,40.687201,-74.002911,0.577249,3
55,Brooklyn,Coney Island,40.576961,-73.987944,4.410778,1
56,Queens,Corona,40.741407,-73.858845,1.696815,1
