date,name,note
2019-01-01,New Year's Day,
2019-01-21,Birthday of Martin Luther King Jr.,"also the date congestion_surcharge switched on (F-006) — a coincidence, and the reason to read this column and that one separately"
2019-02-18,Washington's Birthday,
2019-05-27,Memorial Day,
2019-07-04,Independence Day,falls in the val month
2019-09-02,Labor Day,outside the M1-M3 data window
2019-10-14,Columbus Day,outside the M1-M3 data window
2019-11-11,Veterans Day,outside the M1-M3 data window
2019-11-28,Thanksgiving Day,outside the M1-M3 data window
2019-12-25,Christmas Day,outside the M1-M3 data window
